Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Total_ratings,Total_reviews
WHIRLPOOL ,5,Top Load,1400,Semi Automatic,7,13690,20950,34,4.4,47,3
WHIRLPOOL ,7,Top Load,1400,Semi Automatic,5,9967,14000,28,4.3,255,15
VOLTAS ,8,Top Load,720,Automatic,7,18650,37990,50,3.9,134,14
HAIER ,8,Front Load,1200,Automatic,5,33990,48990,30,4.3,1249,154
HAIER ,9,Top Load,1300,Semi Automatic,5,16727,30250,27,4.2,1074,78
GODREJ ,8,Top Load,1440,Semi Automatic,2,14160,17000,16,4.3,716,58
LLOYD ,8,Top Load,1300,Semi Automatic,5,11490,17590,34,4.3,2369,178
VOLTAS ,7,Top Load,1350,Semi Automatic,7,21623,30250,27,4.3,2041,146
SAMSUNG ,7,Top Load,700,Automatic,20,17900,22500,20,4.1,9,1
SAMSUNG ,5,Top Load,1300,Semi Automatic,7,11490,15900,27,4.4,10568,717
IFB ,5,Front Load,1400,Automatic,7,42290,47990,11,4.4,1011,117
INNOQ ,7,Top Load,1500,Automatic,7,6790,17990,62,4.2,1003,141
ELECTROLUX ,9,Front Load,1200,Automatic,10,41490,75990,45,4.2,50,10
PANASONIC ,7,Top Load,702,Automatic,10,33599,30250,27,4.2,78,9
BOSCH ,8,Front Load,1200,Automatic,2,34964,48190,27,4.5,762,50
VOLTAS ,6,Front Load,1200,Automatic,5,20590,36990,44,3.5,21,0
LG ,7,Top Load,780,Automatic,10,21490,24999,14,4.1,35,1
ACER ,5,Top Load,700,Automatic,10,15899,35999,55,4.1,1186,155
ONIDA ,7,Top Load,700,Automatic,5,14990,23490,36,4.3,575,78
BOSCH ,6,Top Load,1400,Automatic,7,61059,78290,22,4.4,66,4
LG ,10,Top Load,700,Automatic,10,32990,39361,16,4.4,317,21
GODREJ ,7,Top Load,665,Automatic,7,20990,27840,24,4.2,192,12
ELECTROLUX ,5,Top Load,1200,Automatic,10,52990,92990,43,3.0,7,1
VOLTAS ,8,Top Load,1300,Semi Automatic,7,11249,17390,35,4.4,44,6
BOSCH ,9,Top Load,720,Automatic,7,30999,45190,31,4.7,3,1
WHIRLPOOL ,7,Front Load,1200,Automatic,7,32600,46700,30,4.2,8195,726
SAMSUNG ,9,Top Load,1400,Automatic,20,51990,61500,15,4.4,742,79
WHIRLPOOL ,7,Top Load,1350,Semi Automatic,7,11639,14000,16,3.7,23,3
HAIER ,5,Top Load,0,Automatic,2,23800,33000,27,5.0,3,1
SAMSUNG ,8,Front Load,1400,Automatic,20,37990,59400,36,3.9,30,1
SAMSUNG ,9,Top Load,700,Automatic,20,25497,31500,19,4.0,61,4
LG ,7,Top Load,40,Automatic,10,65990,82990,20,4.2,8195,726
THOMSON ,10,Top Load,1400,Semi Automatic,2,12490,15499,19,4.3,118,17
LLOYD ,5,Top Load,680,Automatic,2,12751,19990,36,3.9,112,12
VOLTAS ,5,Top Load,1200,Automatic,12,22564,35590,36,3.8,136,14
WHIRLPOOL ,5,Top Load,740,Automatic,10,16940,21350,20,4.2,8195,726
SAMSUNG ,11,Top Load,700,Automatic,20,38952,48500,19,4.3,54,4
HAIER ,10,Top Load,1300,Semi Automatic,5,16472,18400,10,4.4,72,9
VOLTAS ,7,Top Load,1350,Semi Automatic,7,9900,12990,23,3.5,4,0
INTEX ,5,Top Load,700,Automatic,5,9990,25999,61,4.2,1833,316
VOLTAS ,8,Top Load,1450,Semi Automatic,7,13999,19990,29,4.3,10,1
THOMSON ,5,Top Load,1600,Semi Automatic,5,8999,11999,25,3.9,511,62
DMR ,6,Top Load,240,Automatic,7,5699,7999,28,3.6,81,4
KHAITAN ,2,Top Load,1300,Semi Automatic,2,15899,24990,36,4.2,8195,726
SAMSUNG ,5,Top Load,1350,Semi Automatic,7,16490,18400,10,4.4,799,52
VOLTAS ,6,Front Load,1000,Automatic,12,23150,29990,22,3.8,136,14
IFB ,6,Front Load,1000,Automatic,7,28690,32590,11,4.4,264,35
MARQ ,8,Top Load,1350,Automatic,1,5328,12000,55,4.1,751,66
WHIRLPOOL ,5,Top Load,740,Automatic,12,23999,33590,28,4.1,2134,208
PANASONIC ,8,Top Load,700,Automatic,10,25490,32000,20,4.0,5,0
HAIER ,5,Top Load,1300,Semi Automatic,5,12899,19000,32,4.2,1074,78
PANASONIC ,11,Top Load,702,Automatic,2,31490,43900,28,4.2,8195,726
BOSCH ,6,Front Load,1000,Automatic,7,28999,33990,14,4.0,8,1
GODREJ ,7,Top Load,670,Automatic,7,17490,19500,10,4.2,1272,115
IFB ,11,Top Load,720,Automatic,10,31719,44990,29,4.2,8195,726
IFB ,7,Front Load,1000,Automatic,7,34190,38790,11,4.2,205,13
VOLTAS ,8,Top Load,1350,Semi Automatic,7,11400,19426,41,4.0,26,5
SAMSUNG ,10,Top Load,700,Automatic,20,28249,34500,18,3.2,26,3
WHIRLPOOL ,5,Top Load,740,Automatic,7,18319,19165,4,4.4,31,4
ONIDA ,2,Top Load,700,Automatic,5,12399,19990,37,4.2,41160,4628
BOSCH ,8,Front Load,1200,Automatic,7,35490,46499,23,4.4,3823,411
IFB ,5,Front Load,1000,Automatic,7,29750,34590,13,4.4,7874,1074
IFB ,5,Front Load,1000,Automatic,7,25910,40456,35,4.4,3099,267
IFB ,6,Front Load,800,Automatic,7,23953,27990,14,4.3,944,71
IFB ,5,Front Load,1000,Automatic,7,29915,37890,21,4.4,7874,1074
LLOYD ,5,Top Load,680,Automatic,7,29990,42990,30,4.2,8195,726
WHIRLPOOL ,8,Top Load,740,Automatic,2,20790,29700,30,4.3,361,74
GODREJ ,8,Top Load,1440,Semi Automatic,7,13990,17000,17,4.5,185,13
GODREJ ,5,Top Load,670,Automatic,7,18070,21320,15,4.2,1272,115
TCL ,5,Front Load,1400,Automatic,10,21990,39990,45,3.8,62,13
WHIRLPOOL ,5,Top Load,740,Automatic,7,14470,19700,26,4.3,12403,978
IFB ,6,Front Load,1000,Automatic,7,29490,32790,10,4.4,1233,171
GODREJ ,5,Top Load,670,Automatic,12,17400,31250,44,3.7,14,0
PANASONIC ,8,Top Load,1350,Semi Automatic,7,13399,21000,36,4.0,7,0
SAMSUNG ,11,Top Load,700,Automatic,10,45590,57490,20,4.2,8195,726
BOSCH ,10,Front Load,1400,Automatic,7,74900,75990,1,4.4,9154,772
SAMSUNG ,8,Top Load,700,Automatic,20,28090,33000,14,4.5,6,0
WHIRLPOOL ,5,Top Load,740,Automatic,2,21599,22900,5,4.2,1485,153
HAIER ,8,Top Load,780,Automatic,7,25620,42500,39,4.3,32559,2811
LLOYD ,8,Top Load,1400,Semi Automatic,7,13490,19990,32,4.3,2369,178
WHIRLPOOL ,8,Front Load,1400,Automatic,2,33100,51200,35,4.2,8195,726
SIEMENS ,7,Front Load,1200,Automatic,7,28990,37500,22,4.7,48,7
SAMSUNG ,13,Top Load,700,Automatic,2,53799,60000,10,4.2,8195,726
HAIER ,7,Top Load,1200,Automatic,12,27990,45500,38,4.2,122,13
SAMSUNG ,9,Top Load,1300,Semi Automatic,7,16990,21000,19,4.4,39769,2761
VOLTAS ,9,Top Load,700,Automatic,12,39999,30250,27,4.2,139,13
BOSCH ,8,Front Load,1200,Automatic,7,32990,43299,23,4.4,9154,772
IFB ,8,Front Load,1200,Automatic,7,32990,37990,13,4.4,2963,252
ACER ,5,Top Load,700,Automatic,10,13399,28999,53,3.5,10,2
BOSCH ,6,Top Load,1400,Automatic,10,62998,97990,35,3.7,3,0
LG ,5,Top Load,1300,Semi Automatic,7,15449,19190,19,4.5,6058,657
LG ,6,Top Load,1300,Semi Automatic,2,12850,30250,27,4.3,2551,188
LG ,8,Front Load,1200,Automatic,10,32990,46990,29,4.4,4447,338
LG ,7,Front Load,1200,Automatic,10,43490,30250,27,4.2,8195,726
GODREJ ,7,Top Load,1440,Automatic,5,18490,27500,32,4.1,33,5
GODREJ ,5,Top Load,700,Automatic,10,19990,23200,13,4.3,159,19
WHIRLPOOL ,5,Top Load,1400,Semi Automatic,10,17490,21290,17,4.5,5768,591
SHARP ,9,Top Load,700,Automatic,2,19990,28500,29,4.2,8195,726
ONIDA ,5,Top Load,1350,Semi Automatic,7,9490,11950,20,4.2,10346,930
LG ,8,Front Load,1400,Automatic,7,39990,57990,31,4.5,82,9
ELECTROLUX ,8,Front Load,1200,Automatic,10,38490,65990,41,4.2,50,10
VOLTAS ,6,Top Load,700,Automatic,7,13491,19490,30,4.1,22,3
LLOYD ,6,Top Load,1400,Automatic,7,40990,73990,44,4.0,106,17
HAIER ,8,Front Load,1200,Automatic,1,33990,48990,30,4.2,8195,726
BOSCH ,7,Front Load,1200,Automatic,7,31490,43190,27,4.4,8803,781
LG ,5,Top Load,1400,Semi Automatic,7,12800,17790,28,4.2,8195,726
IFB ,8,Front Load,1400,Automatic,7,39350,50690,22,4.4,1962,200
LG ,5,Front Load,1000,Automatic,7,33680,35490,5,4.4,4649,486
VOLTAS ,7,Top Load,1350,Semi Automatic,7,8867,12990,31,4.4,54,2
LG ,5,Top Load,1300,Semi Automatic,7,19990,25013,20,4.4,135,7
VOLTAS ,5,Top Load,700,Automatic,10,12990,24490,46,4.1,1165,82
IFB ,9,Top Load,720,Automatic,10,32606,40000,18,4.3,21400,1729
GODREJ ,7,Top Load,700,Automatic,10,20990,24300,13,4.3,159,19
HAIER ,9,Top Load,780,Automatic,7,45500,30250,27,4.3,32559,2811
MARQ ,5,Top Load,705,Automatic,5,10890,15990,31,4.0,1609,156
HAIER ,9,Front Load,1400,Automatic,1,39590,67000,40,4.2,8195,726
GODREJ ,7,Top Load,1440,Semi Automatic,7,10499,13990,24,4.1,271,25
WHIRLPOOL ,5,Top Load,1400,Semi Automatic,2,14190,16550,14,4.3,3138,284
VOLTAS ,7,Top Load,1350,Semi Automatic,5,8549,12990,34,4.2,8195,726
LLOYD ,9,Top Load,1300,Semi Automatic,5,16079,24890,35,3.9,27,4
VOLTAS ,14,Top Load,1350,Semi Automatic,7,15690,24600,36,4.0,406,23
SIEMENS ,7,Front Load,1000,Automatic,7,30990,33500,7,4.4,18,2
GODREJ ,8,Top Load,1440,Semi Automatic,2,11683,18900,38,4.2,8195,726
IFB ,5,Top Load,1400,Automatic,7,54990,69643,21,4.2,60,5
SAMSUNG ,7,Top Load,700,Automatic,20,18490,22500,17,5.0,5,0
GODREJ ,5,Top Load,1300,Automatic,2,14490,23900,39,4.3,3,1
PANASONIC ,2,Top Load,700,Automatic,7,17485,22000,20,4.0,11,1
ONIDA ,5,Top Load,1300,Semi Automatic,7,7490,10150,26,4.2,10346,930
ADMIRAL ,5,Top Load,600,Automatic,3,11990,13999,14,3.6,32,6
LG ,8,Top Load,1350,Semi Automatic,7,14799,17990,17,4.4,63,2
LG ,5,Front Load,1200,Automatic,7,35490,41490,14,4.5,2647,302
LG ,5,Top Load,700,Automatic,10,22990,30250,27,4.4,441,43
LG ,7,Front Load,1000,Automatic,7,35990,43990,18,4.5,185,13
LG ,7,Front Load,1200,Automatic,2,35890,45990,21,4.6,68,5
GODREJ ,10,Top Load,720,Semi Automatic,7,16499,21999,25,4.3,11,2
IFB ,10,Top Load,720,Automatic,10,32320,41490,22,4.2,8195,726
INTEX ,6,Front Load,1000,Automatic,5,22390,23490,4,3.9,181,41
LLOYD ,7,Top Load,1400,Semi Automatic,7,11290,14790,23,4.3,2369,178
BOSCH ,7,Top Load,55,Automatic,7,36890,52790,30,4.5,44,11
LG ,7,Front Load,1200,Automatic,10,35990,51990,30,4.6,68,5
LG ,9,Top Load,779,Automatic,7,33990,42990,20,4.1,40,4
GODREJ ,2,Top Load,740,Automatic,7,16780,20099,16,4.4,17,1
LG ,9,Front Load,1400,Automatic,7,44490,46990,5,4.3,188,22
WHIRLPOOL ,9,Front Load,1150,Automatic,10,34900,54300,35,4.2,8195,726
GODREJ ,7,Top Load,720,Automatic,7,16429,31250,47,4.2,8195,726
CANDY ,7,Top Load,1300,Semi Automatic,7,8890,11590,23,4.2,820,88
IFB ,12,Top Load,720,Automatic,10,34790,40490,14,4.2,8195,726
ELECTROLUX ,5,Top Load,1200,Automatic,10,44490,70990,37,4.2,8195,726
ONIDA ,5,Top Load,1300,Semi Automatic,5,7990,10150,21,4.2,10346,930
LLOYD ,10,Top Load,1400,Semi Automatic,7,16443,21990,25,4.2,8195,726
SAMSUNG ,5,Top Load,1300,Semi Automatic,7,15890,16990,6,4.4,4438,334
GODREJ ,9,Top Load,1440,Semi Automatic,7,14381,21500,33,4.5,98,8
SAMSUNG ,7,Top Load,700,Automatic,7,18912,21888,13,4.1,9,1
VOLTAS ,8,Top Load,1200,Automatic,12,30899,41990,26,3.7,3,1
SAMSUNG ,6,Front Load,1000,Automatic,20,29500,33500,11,4.8,6,0
VOLTAS ,5,Front Load,1000,Automatic,12,21990,31990,31,4.0,891,98
VOLTAS ,5,Top Load,1300,Semi Automatic,7,10880,15990,31,4.0,11,1
LLOYD ,8,Top Load,1320,Semi Automatic,3,13999,15590,10,4.3,8,1
LG ,7,Front Load,1200,Automatic,7,37490,51990,27,4.6,68,5
BOSCH ,8,Front Load,1200,Automatic,10,39900,56490,29,4.2,8195,726
IFB ,7,Top Load,720,Automatic,7,20290,26250,22,4.2,8195,726
GODREJ ,12,Top Load,1440,Semi Automatic,5,16990,25750,34,4.0,51,2
VOLTAS ,5,Top Load,1350,Semi Automatic,7,10739,15000,28,3.8,4,0
BOSCH ,7,Top Load,680,Automatic,2,28989,34790,16,4.2,8195,726
PANASONIC ,12,Top Load,750,Semi Automatic,7,17860,26500,32,4.4,19,0
HAIER ,5,Top Load,0,Automatic,2,24000,30250,27,4.4,8,0
VOLTAS ,8,Top Load,1450,Semi Automatic,7,12500,16490,24,4.2,36,0
VOLTAS ,5,Front Load,700,Automatic,7,16499,23490,29,4.2,8195,726
HAIER ,7,Top Load,800,Automatic,2,16890,21490,21,3.0,3,0
WHITE ,5,Top Load,1600,Semi Automatic,5,8499,12499,32,3.7,102,8
PANASONIC ,5,Top Load,850,Automatic,7,45900,55000,16,4.2,8195,726
WHIRLPOOL ,8,Top Load,1400,Semi Automatic,7,12350,16500,25,4.7,47,1
WHIRLPOOL ,5,Top Load,740,Automatic,7,17490,20650,15,4.2,51,5
LLOYD ,8,Top Load,1400,Semi Automatic,2,13389,23490,43,4.2,8195,726
IFB ,5,Front Load,1000,Automatic,7,29950,33490,10,4.3,174,17
WHIRLPOOL ,8,Top Load,1400,Semi Automatic,5,12470,19050,34,4.4,6273,557
SAMSUNG ,5,Front Load,1000,Automatic,20,33406,39900,16,4.5,18,2
THOMSON ,9,Top Load,1400,Semi Automatic,7,9999,13499,25,4.0,2287,260
GODREJ ,7,Top Load,1400,Automatic,10,22399,31250,28,4.2,8195,726
LG ,8,Top Load,700,Automatic,7,26290,35990,26,3.9,12,0
IFB ,5,Front Load,55,Automatic,7,21690,25690,15,2.1,7,0
SAMSUNG ,7,Top Load,1300,Semi Automatic,7,12890,14500,11,4.4,220,16
SAMSUNG ,5,Front Load,1200,Automatic,20,35000,38400,8,4.3,31,2
VOLTAS ,5,Top Load,700,Automatic,12,21499,38990,44,3.9,166,19
GODREJ ,5,Top Load,670,Automatic,2,16072,26500,39,4.1,24,0
BOSCH ,5,Top Load,680,Automatic,2,22599,29990,24,4.8,5,1
VOLTAS ,8,Top Load,1300,Semi Automatic,5,10290,16990,39,4.3,5041,394
LG ,8,Top Load,700,Automatic,7,25890,30916,16,4.4,387,24
LLOYD ,9,Top Load,1300,Semi Automatic,7,13500,21490,37,3.5,4,0
WHIRLPOOL ,5,Top Load,1400,Semi Automatic,10,14989,22100,32,3.6,90,7
WHIRLPOOL ,5,Top Load,1400,Semi Automatic,5,10803,15800,31,4.1,27,1
IFB ,6,Front Load,800,Automatic,7,27390,29490,7,4.3,444,41
LG ,7,Top Load,1400,Automatic,10,61990,79990,22,4.4,144,18
SAMSUNG ,9,Top Load,700,Automatic,7,28090,32800,14,4.4,163,5
GODREJ ,8,Top Load,1400,Semi Automatic,7,13640,18500,26,4.0,55,3
UNKNOWN,8,Front Load,1400,Automatic,5,27899,41999,33,3.9,8,1
VOLTAS ,5,Top Load,1300,Semi Automatic,7,12959,21290,39,4.2,9,1
SAMSUNG ,5,Front Load,1000,Automatic,20,30599,36300,15,4.4,52,8
RELIANCE ,5,Top Load,1350,Automatic,2,5424,8499,36,4.1,84,7
PANASONIC ,7,Top Load,720,Automatic,2,20990,29000,27,4.2,8195,726
LLOYD ,5,Top Load,1300,Semi Automatic,2,12999,20655,37,4.0,5,0
SAMSUNG ,7,Top Load,700,Automatic,20,23499,26000,9,4.5,4,1
TOSHIBA ,8,Front Load,1400,Automatic,4,43490,54990,20,4.2,8195,726
VOLTAS ,5,Top Load,1300,Semi Automatic,7,11930,18490,35,4.6,8,0
VOLTAS ,8,Front Load,1400,Automatic,9,35999,42500,15,4.2,8195,726
PANASONIC ,5,Top Load,700,Automatic,7,19730,24900,20,4.2,8195,726
HAIER ,7,Top Load,740,Semi Automatic,7,11994,14000,14,4.4,90,6
BOSCH ,8,Top Load,1200,Automatic,10,52500,65990,20,4.5,8,1
HAIER ,5,Top Load,1300,Semi Automatic,7,13612,19000,28,4.3,60,7
WHIRLPOOL ,5,Top Load,740,Automatic,7,16400,19200,14,4.6,47,3
SAMSUNG ,7,Front Load,1200,Automatic,10,32797,44990,27,4.4,29,2
MARQ ,5,Top Load,1350,Semi Automatic,5,11299,30250,27,4.3,7024,1006
PANASONIC ,8,Top Load,702,Automatic,7,27599,39500,30,5.0,3,2
WHITE ,5,Front Load,1200,Automatic,7,27499,49990,44,3.9,552,92
BOSCH ,7,Top Load,680,Automatic,2,22999,28689,19,4.0,6,0
WHIRLPOOL ,8,Top Load,740,Automatic,10,18950,26550,28,4.2,8195,726
PANASONIC ,5,Top Load,1400,Automatic,10,45990,58000,20,4.2,8195,726
VOLTAS ,8,Top Load,1350,Semi Automatic,7,12999,19990,34,3.7,14,1
SAMSUNG ,7,Top Load,1400,Automatic,10,71990,85250,15,4.2,8195,726
BOSCH ,8,Top Load,0,Automatic,2,53990,71990,25,4.2,8195,726
LG ,9,Front Load,1400,Automatic,7,45990,61990,25,4.4,47,5
LG ,8,Top Load,780,Automatic,2,22449,30990,27,4.2,8195,726
SAMSUNG ,8,Front Load,1400,Automatic,7,39990,44900,10,4.0,31,0
LLOYD ,7,Top Load,600,Semi Automatic,7,10849,13990,22,4.5,36,2
GODREJ ,8,Top Load,1400,Semi Automatic,7,13550,17334,21,4.0,55,3
IFB ,5,Front Load,1000,Automatic,7,31490,35290,10,4.8,20,2
LLOYD ,5,Top Load,680,Automatic,7,15300,19490,21,4.3,21,0
LLOYD ,7,Top Load,600,Semi Automatic,7,11422,14090,18,4.5,28,1
SAMSUNG ,7,Front Load,1200,Automatic,20,31880,49990,36,4.2,8195,726
KELVINATOR ,5,Top Load,1450,Semi Automatic,1,9190,15192,39,3.7,7,0
WHIRLPOOL ,5,Top Load,740,Automatic,10,19850,27700,28,3.3,3,0
BOSCH ,8,Front Load,1400,Automatic,10,38990,57990,32,4.2,8195,726
PANASONIC ,8,Top Load,720,Automatic,2,21690,30000,27,4.2,8195,726
PANASONIC ,10,Top Load,750,Semi Automatic,7,18199,25000,27,3.9,10,0
LLOYD ,5,Top Load,1300,Semi Automatic,2,14500,17900,18,3.8,10,2
EQUATOR ,10,Front Load,1400,Automatic,7,29999,55490,45,4.2,8195,726
SAMSUNG ,7,Top Load,1300,Semi Automatic,7,14000,15800,11,4.1,13,1
SANSUI ,5,Top Load,700,Automatic,7,12990,19990,35,3.7,104,11
ACER ,8,Top Load,700,Automatic,10,16999,38999,56,4.1,1186,155
GODREJ ,8,Front Load,1400,Automatic,2,31410,46500,32,3.2,5,0
KELVINATOR ,5,Top Load,1300,Semi Automatic,7,12130,22999,47,4.2,8195,726
BOSCH ,8,Front Load,1200,Automatic,7,36672,51590,28,4.5,19,2
WHIRLPOOL ,8,Top Load,740,Automatic,10,18720,25990,27,3.2,5,0
BPL ,7,Top Load,1320,Semi Automatic,5,9021,13999,35,4.2,8195,726
SAMSUNG ,9,Front Load,1400,Automatic,2,37999,55900,32,3.7,3,0
SAMSUNG ,7,Top Load,1300,Semi Automatic,7,14890,18200,18,4.2,109,6
DMR ,4,Top Load,250,Automatic,7,9990,24999,60,3.0,5,0
PANASONIC ,5,Top Load,550,Semi Automatic,7,15000,19000,21,4.2,8195,726
GODREJ ,8,Top Load,720,Semi Automatic,7,13399,20750,35,4.2,8195,726
LG ,7,Top Load,1350,Semi Automatic,7,13999,14990,6,4.4,776,44
BOSCH ,7,Front Load,1200,Automatic,2,34549,50490,31,4.2,8195,726
SAMSUNG ,8,Top Load,700,Automatic,20,26501,29500,10,4.0,17,0
LLOYD ,12,Top Load,1300,Semi Automatic,7,16999,22990,26,3.6,9,0
DMR ,3,Top Load,240,Automatic,7,4789,6499,26,3.6,81,4
BOSCH ,7,Top Load,680,Automatic,10,21600,46120,53,3.9,36,1
PANASONIC ,10,Top Load,550,Semi Automatic,7,17180,25000,31,3.9,10,0
SAMSUNG ,5,Top Load,1300,Semi Automatic,2,18000,22900,21,5.0,6,0
KELVINATOR ,12,Top Load,1350,Semi Automatic,5,16390,24990,34,4.2,8195,726
VOLTAS ,7,Top Load,700,Automatic,7,18500,28690,35,4.5,31,3
LG ,7,Front Load,1200,Automatic,7,36990,40990,9,4.2,45,4
SIEMENS ,6,Top Load,1400,Automatic,10,65990,97990,32,4.2,8195,726
BPL ,7,Top Load,1350,Semi Automatic,2,8990,13999,35,4.2,8195,726
LG ,7,Top Load,1300,Semi Automatic,7,14347,16590,13,4.4,776,44
ACER ,7,Top Load,700,Automatic,10,16499,25999,36,4.2,8195,726
HAIER ,7,Top Load,1300,Semi Automatic,5,12149,14500,16,4.0,93,3
IFB ,5,Top Load,55,Automatic,10,23490,26990,12,3.8,6,0
WHITE ,5,Top Load,1600,Semi Automatic,5,10990,14999,26,4.0,687,72
KELVINATOR ,5,Top Load,680,Automatic,2,14912,21990,32,4.2,8195,726
GODREJ ,8,Top Load,670,Automatic,10,18990,33000,42,4.2,8195,726
BOSCH ,5,Top Load,720,Automatic,3,24900,29000,14,4.2,8195,726
SAMSUNG ,11,Front Load,1400,Automatic,20,49990,71990,30,4.2,8195,726
HAIER ,6,Top Load,800,Automatic,7,21100,21200,27,4.2,8195,726
SAMSUNG ,12,Front Load,1400,Automatic,20,51990,65990,21,4.2,8195,726
SAMSUNG ,5,Top Load,1300,Semi Automatic,2,13220,16000,17,4.9,10,0
BOSCH ,7,Front Load,1200,Automatic,12,33980,49000,30,3.8,20,2
DMR ,2,Top Load,240,Automatic,7,6499,7999,18,3.5,50,1
IFB ,7,Front Load,1000,Automatic,7,34500,42500,18,4.2,8195,726
BOSCH ,6,Top Load,1400,Automatic,10,67900,93900,27,4.2,8195,726
LG ,5,Front Load,1200,Automatic,7,39215,41990,6,4.2,8195,726
ACER ,5,Top Load,700,Automatic,5,12999,19499,33,4.2,8195,726
LG ,8,Top Load,780,Automatic,10,27490,32570,15,4.2,8195,726
BOSCH ,9,Front Load,1200,Automatic,10,40599,57990,29,4.2,8195,726
LLOYD ,5,Top Load,1300,Semi Automatic,1,10500,15000,30,4.2,8195,726
LG ,11,Top Load,700,Automatic,7,39990,46990,14,4.2,8195,726
WHIRLPOOL ,9,Top Load,1400,Semi Automatic,7,17565,18490,5,4.2,38,2
PANASONIC ,5,Top Load,720,Automatic,2,23630,33900,30,4.2,8195,726
LG ,8,Front Load,1400,Automatic,2,38990,44990,13,4.3,65,5
LG ,7,Top Load,700,Automatic,10,20999,23490,10,4.2,8195,726
HAIER ,5,Top Load,800,Automatic,10,15999,23000,30,4.2,8195,726
